System|10m3.6609542s
Secure System|10m3.661458s
Registry|10m3.6614696s
smss.exe|10m3.6615915s
csrss.exe|10m3.6615915s
wininit.exe|10m3.6615986s
services.exe|10m3.6617613s
LsaIso.exe|10m3.6617613s
lsass.exe|10m3.6620581s
winlogon.exe|10m3.6620581s
svchost.exe|10m3.6620581s
fontdrvhost.exe|10m3.6628858s
dwm.exe|10m3.6634683s
vmms.exe|10m3.6634683s
NVDisplay.Container.exe|10m3.6634683s
Memory Compression|10m3.66348s
dasHost.exe|10m3.6646283s
vmcompute.exe|10m3.6646352s
SbieSvc.exe|10m3.6648755s
spoolsv.exe|10m3.6648805s
Everything.exe|10m3.6648862s
vmware-authd.exe|10m3.6648862s
MsMpEng.exe|10m3.665397s
vmware-usbarbitrator64.exe|10m3.6660831s
nvcontainer.exe|10m3.6661717s
vmnat.exe|10m3.6662896s
MpDefenderCoreService.exe|10m3.6662896s
vmnetdhcp.exe|10m3.6662896s
wslservice.exe|10m3.6668244s
rundll32.exe|10m3.6671265s
dllhost.exe|10m3.6671265s
gamingservices.exe|10m3.6671335s
gamingservicesnet.exe|10m3.6671335s
vmmem|10m3.6676395s
SearchIndexer.exe|10m3.667647s
NisSrv.exe|10m3.6686457s
sihost.exe|10m3.6692397s
taskhostw.exe|10m3.669326s
explorer.exe|10m3.6694166s
nvsphelper64.exe|10m3.6694244s
NVIDIA Share.exe|10m3.6704493s
NVIDIA Web Helper.exe|10m3.6704493s
conhost.exe|10m3.6713171s
StartMenuExperienceHost.exe|10m3.6713171s
RuntimeBroker.exe|10m3.6718752s
SearchApp.exe|10m3.6735597s
TextInputHost.exe|10m3.6735597s
ctfmon.exe|10m3.6742763s
LockApp.exe|10m3.6742763s
SecurityHealthSystray.exe|10m3.6742997s
SecurityHealthService.exe|10m3.6749053s
RtkNGUI64.exe|10m3.674913s
Discord.exe|10m3.6754205s
GoogleDriveFS.exe|10m3.6754332s
EarTrumpet.exe|10m3.6759396s
crashpad_handler.exe|10m3.6760275s
CompPkgSrv.exe|10m3.6762894s
steam.exe|10m3.6768123s
steamwebhelper.exe|10m3.6780462s
steamservice.exe|10m3.6781152s
SgrmBroker.exe|10m3.6787375s
vivaldi.exe|10m3.6797444s
Microsoft.SharePoint.exe|10m3.6798668s
UserOOBEBroker.exe|10m3.6803703s
ShellExperienceHost.exe|10m3.6809779s
GitHubDesktop.exe|10m3.6810105s
Code.exe|10m3.6817063s
pwsh.exe|10m3.6838593s
gopls.exe|10m3.6844046s
audiodg.exe|10m3.685044s
WindowsTerminal.exe|10m3.6850482s
OpenConsole.exe|10m3.6850526s
jammer.exe|10m3.6861837s
ApplicationFrameHost.exe|10m3.6861837s
Taskmgr.exe|10m3.6863185s
go.exe|10m3.6874595s
bigbro.exe|10m3.6880502s
git.exe|19.347245s
smartscreen.exe|7m42.5042713s
staticcheck.exe|28.4194518s
compile.exe|4.05204s
asm.exe|2.0253017s
git-remote-https.exe|5.0401277s
sh.exe|5.0401277s
git-credential-manager-core.exe|5.0401277s
notepad.exe|9.0630179s
FileCoAuth.exe|6.04495s
